Date,HO-Futures
6/2/1986,0.378
6/3/1986,0.38
6/4/1986,0.358
6/5/1986,0.374
6/6/1986,0.372
6/9/1986,0.366
6/10/1986,0.36
6/11/1986,0.384
6/12/1986,0.394
6/13/1986,0.397
6/16/1986,0.378
6/17/1986,0.376
6/18/1986,0.375
6/19/1986,0.383
6/20/1986,0.366
6/23/1986,0.366
6/24/1986,0.367
6/25/1986,0.375
6/26/1986,0.377
6/27/1986,0.383
6/30/1986,0.373
7/1/1986,0.361
7/2/1986,0.353
7/7/1986,0.329
7/8/1986,0.332
7/9/1986,0.318
7/10/1986,0.327
7/11/1986,0.318
7/14/1986,0.311
7/15/1986,0.329
7/16/1986,0.351
7/17/1986,0.34
7/18/1986,0.35
7/21/1986,0.356
7/22/1986,0.336
7/23/1986,0.327
7/24/1986,0.325
7/25/1986,0.32
7/28/1986,0.321
7/29/1986,0.336
7/30/1986,0.344
7/31/1986,0.32
8/1/1986,0.337
8/4/1986,0.383
8/5/1986,0.428
8/6/1986,0.421
8/7/1986,0.425
8/8/1986,0.409
8/11/1986,0.409
8/12/1986,0.423
8/13/1986,0.423
8/14/1986,0.426
8/15/1986,0.434
8/18/1986,0.433
8/19/1986,0.419
8/20/1986,0.429
8/21/1986,0.432
8/22/1986,0.431
8/25/1986,0.429
8/26/1986,0.435
8/27/1986,0.426
8/28/1986,0.427
8/29/1986,0.433
9/2/1986,0.458
9/3/1986,0.448
9/4/1986,0.449
9/5/1986,0.455
9/8/1986,0.433
9/9/1986,0.418
9/10/1986,0.398
9/11/1986,0.403
9/12/1986,0.404
9/15/1986,0.393
9/16/1986,0.392
9/17/1986,0.396
9/18/1986,0.402
9/19/1986,0.404
9/22/1986,0.399
9/23/1986,0.403
9/24/1986,0.404
9/25/1986,0.397
9/26/1986,0.402
9/29/1986,0.412
9/30/1986,0.413
10/1/1986,0.431
10/2/1986,0.438
10/3/1986,0.419
10/6/1986,0.417
10/7/1986,0.427
10/8/1986,0.424
